ticker,start_date_actual,start_price,end_date_actual,end_price,raw_return,normal_return_spy,excess_return,cluster,CAR,MaxDrawdown,Volatility,label
INDI,2025-01-27,4.18,2025-02-10,3.97,-0.05023923444976064,0.009142900901601747,-0.059382135351362386,1,-0.062369067411593204,-0.08101851851851849,0.03262795050302262,Vulnerable
INFY,2025-01-27,20.9254,2025-02-10,21.246,0.015321093025700838,0.009142900901601747,0.006178192124099091,1,0.0139964319143282,-0.024575234345534214,0.009183117709742753,Vulnerable
INOD,2025-01-27,33.19,2025-02-10,44.33,0.3356432660439892,0.009142900901601747,0.32650036514238745,1,0.12545806472284982,-0.00916936353829545,0.06682331681118528,Vulnerable
INSG,2025-01-27,11.54,2025-02-10,12.81,0.11005199306759117,0.009142900901601747,0.10090909216598942,1,0.055533317232875246,-0.050190114068441094,0.04094300083709667,Vulnerable
INTA,2025-01-27,67.62,2025-02-10,71.05,0.0507246376811592,0.009142900901601747,0.041581736779557454,1,0.03558354609095238,-0.03346483471636519,0.029822365663275743,Vulnerable
INTC,2025-01-27,20.29,2025-02-10,19.77,-0.025628388368654442,0.009142900901601747,-0.03477128927025619,1,-0.04524055608945177,-0.058649581074420865,0.02012857890128422,Vulnerable
INTU,2025-01-27,600.6747,2025-02-10,581.0887,-0.0326066671361388,0.009142900901601747,-0.04174956803774055,1,-0.013054003449524787,-0.04577818909303155,0.012975249173007665,Vulnerable
IONQ,2025-01-27,38.54,2025-02-10,41.07,0.06564608199273492,0.009142900901601747,0.05650318109113317,1,0.016324383796958664,-0.04135160680529293,0.027849207571544785,Vulnerable
IOT,2025-01-27,49.33,2025-02-10,55.02,0.11534563146158527,0.009142900901601747,0.10620273055998353,1,0.13997616625607212,-0.016402933230413086,0.01904738099171792,Vulnerable
IPGP,2025-01-27,70.62,2025-02-10,67.4,-0.04559614839988668,0.009142900901601747,-0.05473904930148843,1,-0.08618533520236238,-0.08336733306133548,0.02347676093600006,Vulnerable
JBL,2025-01-27,159.2065,2025-02-10,166.1823,0.04381605022408008,0.009142900901601747,0.034673149322478336,1,-0.03129018606906275,-0.019429462843370326,0.02724243460157666,Vulnerable
JKHY,2025-01-27,174.6039,2025-02-10,170.7304,-0.022184498742582548,0.009142900901601747,-0.031327399644184295,1,0.004081440869752262,-0.027139714519549663,0.010050487849451754,Vulnerable
JKS,2025-01-27,19.4066,2025-02-10,20.3464,0.048426823864046176,0.009142900901601747,0.03928392296244443,1,0.041567633010571425,-0.0605613148427232,0.03095534538569179,Vulnerable
JMIA,2025-01-27,3.86,2025-02-10,4.15,0.07512953367875652,0.009142900901601747,0.06598663277715477,1,0.05457704472705882,-0.07600950118764838,0.039774014938095015,Vulnerable
JOYY,2025-01-27,41.1064,2025-02-10,42.4267,0.03211908607905323,0.009142900901601747,0.02297618517745148,1,-0.007796369128933556,-0.044099197700533166,0.026859148302610564,Vulnerable
KC,2025-01-27,11.0,2025-02-10,18.365,0.6695454545454544,0.009142900901601747,0.6604025536438527,1,0.5788368704100418,-0.053463855421686746,0.0789511027653511,Vulnerable
KD,2025-01-27,37.93,2025-02-10,41.02,0.08146585815976803,0.009142900901601747,0.07232295725816629,1,0.05341859159742235,-0.05592635212888364,0.03641298701585985,Vulnerable
KLIC,2025-01-27,41.8557,2025-02-10,40.4306,-0.03404793134507367,0.009142900901601747,-0.043190832246675415,1,-0.07886074280031785,-0.0660651504021661,0.020761480098078308,Vulnerable
